Delta,case,A,time,linear_drho2_over_epsilon,nonlinear_drho2_over_epsilon
0.001,EP,0.18061960298019653,209.8,0.04382713946498501,0.044726917489690265
0.001,EP,0.18061960298019653,210.0,0.04365057155602241,0.04454740819226366
0.001,EP,0.18061960298019653,210.20000000000002,0.043474685793433804,0.044368588797416564
0.001,EP,0.18061960298019653,210.4,0.04329947971196675,0.044190456830461855
0.001,EP,0.18061960298019653,210.60000000000002,0.04312495085424529,0.04401300982781464
0.001,EP,0.18061960298019653,210.8,0.042951096770750014,0.043836245327000256
0.001,EP,0.18061960298019653,211.0,0.04277791501980107,0.04366016087997693
0.001,EP,0.18061960298019653,211.20000000000002,0.04260540316753794,0.04348475404203356
0.001,EP,0.18061960298019653,211.4,0.04243355878790203,0.04331002237734083
0.001,EP,0.18061960298019653,211.60000000000002,0.0422623794626195,0.04313596346006143
0.001,EP,0.18061960298019653,211.8,0.04209186278117929,0.04296257486657851
0.001,EP,0.18061960298019653,212.0,0.041922006340817664,0.04278985418770809
0.001,EP,0.18061960298019653,212.20000000000002,0.041752807746498984,0.04261779901648666
0.001,EP,0.18061960298019653,212.4,0.0415842646108977,0.04244640695705293
0.001,EP,0.18061960298019653,212.60000000000002,0.04141637455437741,0.042275675620206954
0.001,EP,0.18061960298019653,212.8,0.04124913520497607,0.04210560262341012
0.001,EP,0.18061960298019653,213.0,0.0410825441983844,0.04193618559189538
0.001,EP,0.18061960298019653,213.20000000000002,0.04091659917792894,0.04176742215977747
0.001,EP,0.18061960298019653,213.4,0.04075129779455353,0.04159930996672223
0.001,EP,0.18061960298019653,213.60000000000002,0.040586637706800016,0.04143184666238753
0.001,EP,0.18061960298019653,213.8,0.040422616580790716,0.041265029903092554
0.001,EP,0.18061960298019653,214.0,0.04025923209020988,0.04109885735070762
0.001,EP,0.18061960298019653,214.20000000000002,0.0400964819162832,0.040933326675984816
0.001,EP,0.18061960298019653,214.4,0.039934363747762595,0.040768435558558025
0.001,EP,0.18061960298019653,214.60000000000002,0.03977287528090589,0.04060418168472246
0.001,EP,0.18061960298019653,214.8,0.039612014219457294,0.04044056274521424
0.001,EP,0.18061960298019653,215.0,0.0394517782746317,0.04027757644298191
0.001,EP,0.18061960298019653,215.20000000000002,0.039292165165093595,0.04011522048541494
0.001,EP,0.18061960298019653,215.4,0.03913317261694036,0.03995349258656411
0.001,EP,0.18061960298019653,215.60000000000002,0.038974798363682325,0.03979239047158245
0.001,EP,0.18061960298019653,215.8,0.03881704014622558,0.03963191186895365
0.001,EP,0.18061960298019653,216.0,0.03865989571285331,0.03947205451715341
0.001,EP,0.18061960298019653,216.20000000000002,0.038503362819206306,0.03931281615909832
0.001,EP,0.18061960298019653,216.4,0.038347439228266215,0.0391541945488072
0.001,EP,0.18061960298019653,216.60000000000002,0.0381921227103347,0.03899618744473976
0.001,EP,0.18061960298019653,216.8,0.03803741104301813,0.038838792614237505
0.001,EP,0.18061960298019653,217.0,0.037883302011206474,0.038682007830193044
0.001,EP,0.18061960298019653,217.20000000000002,0.037729793407056185,0.03852583087438077
0.001,EP,0.18061960298019653,217.4,0.037576883029971156,0.038370259534126205
0.001,EP,0.18061960298019653,217.60000000000002,0.03742456868658534,0.038215291605636637
0.001,EP,0.18061960298019653,217.8,0.037272848190742947,0.038060924889560255
0.001,EP,0.18061960298019653,218.0,0.03712171936348164,0.0379071571987577
0.001,EP,0.18061960298019653,218.20000000000002,0.03697118003301179,0.037753986348310065
0.001,EP,0.18061960298019653,218.4,0.03682122803470133,0.037601410162180215
0.001,EP,0.18061960298019653,218.60000000000002,0.036671861211054806,0.037449426470992364
0.001,EP,0.18061960298019653,218.8,0.03652307741169574,0.037298033114252505
0.001,EP,0.18061960298019653,219.0,0.03637487449334939,0.03714722793590752
0.001,EP,0.18061960298019653,219.20000000000002,0.036227250319821776,0.03699700878767587
0.001,EP,0.18061960298019653,219.4,0.03608020276198436,0.03684737353126799
0.001,EP,0.18061960298019653,219.60000000000002,0.03593372969775481,0.036698320030614795
0.001,EP,0.18061960298019653,219.8,0.035787829012076874,0.03654984615963919
0.001,EP,0.18061960298019653,220.0,0.03564249859690513,0.036401949798925415
0.001,EP,0.18061960298019653,220.20000000000002,0.03549773635118401,0.03625462883460884
0.001,EP,0.18061960298019653,220.4,0.03535354018083075,0.036107881162816824
0.001,EP,0.18061960298019653,220.60000000000002,0.03520990799871812,0.03596170468189719
0.001,EP,0.18061960298019653,220.8,0.03506683772465367,0.0358160973024102
0.001,EP,0.18061960298019653,221.0,0.034924327285364175,0.03567105693713657
0.001,EP,0.18061960298019653,221.20000000000002,0.03478237461447614,0.0355265815077388
0.001,EP,0.18061960298019653,221.4,0.03464097765249609,0.03538266894365094
0.001,EP,0.18061960298019653,221.60000000000002,0.034500134346796545,0.0352393171809684
0.001,EP,0.18061960298019653,221.8,0.03435984265159336,0.03509652416022746
0.001,EP,0.18061960298019653,222.0,0.034220100527930605,0.034954287829735975
0.001,EP,0.18061960298019653,222.20000000000002,0.03408090594366047,0.03481260614668358
0.001,EP,0.18061960298019653,222.4,0.033942256873426974,0.03467147707381102
0.001,EP,0.18061960298019653,222.60000000000002,0.033804151298646466,0.03453089857941016
0.001,EP,0.18061960298019653,222.8,0.03366658720749003,0.034390868639544436
0.001,EP,0.18061960298019653,223.0,0.03352956259486543,0.0342513852369386
0.001,EP,0.18061960298019653,223.20000000000002,0.03339307546239864,0.034112446360978765
0.001,EP,0.18061960298019653,223.4,0.03325712381841725,0.03397405000660214
0.001,EP,0.18061960298019653,223.60000000000002,0.033121705677930185,0.033836194178737955
0.001,EP,0.18061960298019653,223.8,0.03298681906261134,0.033698876883425655
0.001,EP,0.18061960298019653,224.0,0.032852462000781735,0.03356209613891714
