case,A,epsilon,time,nonlinear_delta_r_over_epsilon,linear_delta_r_over_epsilon,nonlinear_delta_psi_over_epsilon,linear_delta_psi_over_epsilon
stable_node,0.17840322435994366,-0.01,48.25,0.6631028218776258,0.9401811681703265,-0.2730683577336801,-0.23004367074894005
stable_node,0.17840322435994366,-0.01,48.5,0.6599905957986096,0.9385729320333015,-0.2723192675603503,-0.23004549644500424
stable_node,0.17840322435994366,-0.01,48.75,0.6568841724534091,0.9369607649948317,-0.2715627323021358,-0.23004185113336717
stable_node,0.17840322435994366,-0.01,49.0,0.6537836934449759,0.9353447499937259,-0.2707989207987038,-0.23003279717405362
stable_node,0.17840322435994366,-0.01,49.25,0.6506892977037548,0.9337249691159075,-0.27002800020784756,-0.23001839634541818
stable_node,0.17840322435994366,-0.01,49.5,0.6476011215127642,0.9321015036021804,-0.2692501360073596,-0.22999870984930199
stable_node,0.17840322435994366,-0.01,49.75,0.6445192985326975,0.9304744338559217,-0.26846549199685266,-0.22997379831614465
stable_node,0.17840322435994366,-0.01,50.0,0.6414439598269261,0.9288438394507103,-0.2676742302999774,-0.22994372181005238
stable_node,0.17840322435994366,-0.01,50.25,0.6383752338865678,0.9272097991378854,-0.26687651136696744,-0.22990853983382067
stable_node,0.17840322435994366,-0.01,50.5,0.6353132466556222,0.9255723908540409,-0.2660724939771236,-0.2298683113339141
stable_node,0.17840322435994366,-0.01,50.75,0.6322581215559397,0.9239316917284524,-0.2652623352423167,-0.22982309470540205
stable_node,0.17840322435994366,-0.01,51.0,0.629209979512313,0.9222877780904395,-0.26444619061009034,-0.22977294779685123
stable_node,0.17840322435994366,-0.01,51.25,0.626168938977445,0.9206407254766624,-0.2636242138671585,-0.22971792791517606
stable_node,0.17840322435994366,-0.01,51.5,0.6231351159569409,0.9189906086383541,-0.2627965571433466,-0.229658091830446
stable_node,0.17840322435994366,-0.01,51.75,0.6201086240343212,0.9173375015484919,-0.2619633709157798,-0.2295934957806515
stable_node,0.17840322435994366,-0.01,52.0,0.6170895743958349,0.9156814774089003,-0.2611248040130437,-0.22952419547642763
stable_node,0.17840322435994366,-0.01,52.25,0.6140780758554509,0.9140226086572962,-0.26028100361997764,-0.2294502461057371
stable_node,0.17840322435994366,-0.01,52.5,0.6110742348795939,0.9123609669742703,-0.25943211528243193,-0.22937170233851192
stable_node,0.17840322435994366,-0.01,52.75,0.6080781556119574,0.9106966232902052,-0.2585782829122557,-0.22928861833125472
stable_node,0.17840322435994366,-0.01,53.0,0.6050899398982734,0.9090296477921364,-0.2577196487927119,-0.22920104773159958
stable_node,0.17840322435994366,-0.01,53.25,0.6021096873109144,0.9073601099305479,-0.256856353583923,-0.2291090436828334
stable_node,0.17840322435994366,-0.01,53.5,0.5991374951735406,0.9056880784261134,-0.25598853632861074,-0.22901265882837768
stable_node,0.17840322435994366,-0.01,53.75,0.5961734585856249,0.9040136212763732,-0.25511633445810256,-0.22891194531623055
stable_node,0.17840322435994366,-0.01,54.0,0.5932176704469105,0.9023368057623548,-0.2542398837983406,-0.22880695480337077
stable_node,0.17840322435994366,-0.01,54.25,0.5902702214818367,0.9006576984551351,-0.253359318576285,-0.22869773846012303
stable_node,0.17840322435994366,-0.01,54.5,0.5873312002637965,0.898976365222344,-0.25247477142651964,-0.2285843469744846
stable_node,0.17840322435994366,-0.01,54.75,0.5844006932394508,0.89729287123461,-0.25158637339791623,-0.22846683055641478
stable_node,0.17840322435994366,-0.01,55.0,0.5814787847527869,0.89560728097195,-0.25069425396050116,-0.22834523894208614
stable_node,0.17840322435994366,-0.01,55.25,0.5785655570692216,0.893919658230105,-0.2497985410126552,-0.22821962139809995
stable_node,0.17840322435994366,-0.01,55.5,0.5756610903995929,0.8922300661268128,-0.24889936088821896,-0.22809002672566284
stable_node,0.17840322435994366,-0.01,55.75,0.5727654629239631,0.8905385671080343,-0.24799683836410902,-0.22795650326472844
stable_node,0.17840322435994366,-0.01,56.0,0.5698787508154557,0.8888452229541183,-0.2470910966677231,-0.22781909889810262
stable_node,0.17840322435994366,-0.01,56.25,0.5670010282638693,0.8871500947859141,-0.24618225748483935,-0.22767786105551172
stable_node,0.17840322435994366,-0.01,56.5,0.5641323674992815,0.8854532430708313,-0.24527044096735728,-0.22753283671763677
