Delta,A_SN,A_EP,A_Hopf,SN_to_EP,EP_to_Hopf,lambda_EP,lambda_other_EP,spectral_abscissa_EP,sv1_shifted,sv2_shifted,sv3_shifted,Omega_Hopf,residual_SN,residual_EP,residual_Hopf
0.0025,0.18361228530907472,0.18394841838885523,0.2988269434026105,0.000336133079780504,0.11487852501375528,-0.026439528261773353,-0.1615540941334587,-0.026439528261773183,0.20565774930073966,0.07202903678624915,5.609251377207672e-16,0.18800811854447938,1.1102230246251565e-16,2.220446049250313e-16,5.204170427930421e-18
0.00275,0.1841422174200183,0.18451607690610008,0.300968030075093,0.0003738594860817901,0.1164519531689929,-0.02678202642682277,-0.1613854859935859,-0.026782026426822512,0.20395409882370108,0.07130833952460748,6.721826915900424e-16,0.18787640298620892,1.1102230246251565e-16,1.1102230246251565e-16,9.063930161978817e-17
0.003,0.184672662963637,0.1850883769532311,0.3031160757681389,0.0004157139895941131,0.11802769881490782,-0.027119061349226405,-0.16121505073694287,-0.02711906134922608,0.20223893296081777,0.07059763374609963,7.630623015195579e-16,0.1877309500318129,1.1102230246251565e-16,2.220446049250313e-16,5.204170427930421e-18
0.0032500000000000003,0.18520362330501847,0.1856657744219816,0.305271182773613,0.0004621511169631276,0.11960540835163139,-0.02745035160774316,-0.16104255158769623,-0.02745035160774268,0.2005122376620102,0.06989781894624658,1.0423228326167295e-15,0.18757196300152412,1.1102230246251565e-16,1.1102230246251565e-16,1.0018028073766061e-16
0.0035,0.1857350998093194,0.1862487752552269,0.3074334525212879,0.0005136754459074966,0.121184677266061,-0.027775599802685152,-0.16086773287450407,-0.02777559980268449,0.19877404047631633,0.06920984091685135,1.3557252103621484e-15,0.1873996377029359,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16
0.00375,0.18626709384180168,0.18683794049466795,0.30960298567174716,0.0005708466528662748,0.1227650451770792,-0.028094492242039745,-0.1606903189753286,-0.02809449224203895,0.19702441732148157,0.06853469053747016,1.6545079377867203e-15,0.18721416280109776,1.1102230246251565e-16,5.551115123125783e-16,1.1102230246251565e-16
0.004,0.186799606767897,0.18743389164562804,0.31177988220414254,0.0006342848777310395,0.1243459905585145,-0.02840669879328805,-0.1605100133189258,-0.028406698793287093,0.19526349996284353,0.06787340166477733,2.050523029449585e-15,0.187015720165143,1.1102230246251565e-16,5.551115123125783e-16,1.1102230246251565e-16
0.00425,0.18733263995325028,0.18803731631721188,0.3139642414992291,0.0007046763639615983,0.1259269251820172,-0.028711872944901438,-0.16032649747863942,-0.028711872944900227,0.19349148420351536,0.06722704795681761,2.238806149409304e-15,0.1868044851932405,2.220446049250313e-16,4.440892098500626e-16,1.1102230246251565e-16
0.0045000000000000005,0.18786619476377062,0.18864897407366912,0.3161561624180667,0.000782779309898507,0.1275071883443976,-0.029009652127037957,-0.1601394304013353,-0.029009652127036392,0.19170863876287722,0.06659673846042054,2.5929457492131054e-15,0.18658062711748416,1.713039432527097e-16,2.220446049250313e-16,3.469446951953614e-18
0.00475,0.18840027256568323,0.1892697024056203,0.31835574337671513,0.0008694298399370692,0.12908604097109483,-0.029299658345941,-0.15994844782187606,-0.029299658345939096,0.18991531478766496,0.06598361178694113,3.1520676139998518e-15,0.18634430929023985,2.220446049250313e-16,2.220446049250313e-16,3.469446951953614e-18
