case,A,time,delta_r_over_epsilon,delta_psi_over_epsilon
stable_node,0.17840322435994352,507.4617705100589,0.007251414070807682,-0.0022120682124391433
stable_node,0.17840322435994352,507.86806496202854,0.007219257250803835,-0.002202258727727912
stable_node,0.17840322435994352,508.2743594139982,0.007187243030424467,-0.0021924927423788414
stable_node,0.17840322435994352,508.68065386596777,0.007155370777334251,-0.0021827700635130357
stable_node,0.17840322435994352,509.0869483179374,0.007123639862001298,-0.002173090499106557
stable_node,0.17840322435994352,509.493242769907,0.007092049657685259,-0.002163453857986789
stable_node,0.17840322435994352,509.89953722187664,0.007060599540424339,-0.002153859949828485
stable_node,0.17840322435994352,510.3058316738463,0.007029288889023625,-0.002144308585150209
stable_node,0.17840322435994352,510.71212612581587,0.006998117085042154,-0.0021347995753103963
stable_node,0.17840322435994352,511.1184205777855,0.006967083512781356,-0.002125332732503825
stable_node,0.17840322435994352,511.52471502975516,0.006936187559272206,-0.0021159078697577127
stable_node,0.17840322435994352,511.93100948172474,0.0069054286142639434,-0.002106524800928256
stable_node,0.17840322435994352,512.3373039336943,0.006874806070211249,-0.0020971833406967437
stable_node,0.17840322435994352,512.743598385664,0.0068443193222627405,-0.00208788330456605
stable_node,0.17840322435994352,513.1498928376336,0.006813967768248757,-0.002078624508856892
stable_node,0.17840322435994352,513.5561872896033,0.006783750808669669,-0.002069406770704288
stable_node,0.17840322435994352,513.9624817415729,0.006753667846684037,-0.0020602299080539283
stable_node,0.17840322435994352,514.3687761935425,0.0067237182880967574,-0.0020510937396585765
stable_node,0.17840322435994352,514.7750706455121,0.006693901541347198,-0.0020419980850744555
stable_node,0.17840322435994352,515.1813650974817,0.006664217017497741,-0.002032942764657742
stable_node,0.17840322435994352,515.5876595494514,0.006634664130221994,-0.002023927599560983
stable_node,0.17840322435994352,515.993954001421,0.006605242295793489,-0.0020149524117296473
stable_node,0.17840322435994352,516.4002484533906,0.006575950933073921,-0.0020060170238985365
stable_node,0.17840322435994352,516.8065429053603,0.0065467894635015495,-0.0019971212595882603
stable_node,0.17840322435994352,517.2128373573298,0.006517757311079991,-0.0019882649431018167
stable_node,0.17840322435994352,517.6191318092995,0.006488853902366972,-0.001979447899521152
stable_node,0.17840322435994352,518.0254262612691,0.006460078666462779,-0.001970669954703653
stable_node,0.17840322435994352,518.4317207132387,0.006431431034998776,-0.0019619309352786525
stable_node,0.17840322435994352,518.8380151652084,0.00640291044212696,-0.001953230668644219
stable_node,0.17840322435994352,519.2443096171779,0.006374516324508023,-0.0019445689829635394
stable_node,0.17840322435994352,519.6506040691476,0.006346248121300281,-0.0019359457071615551
stable_node,0.17840322435994352,520.0568985211172,0.006318105274149135,-0.001927360670921717
stable_node,0.17840322435994352,520.4631929730868,0.00629008722717574,-0.001918813704682546
stable_node,0.17840322435994352,520.8694874250565,0.0062621934269657025,-0.001910304639634209
stable_node,0.17840322435994352,521.2757818770261,0.006234423322558886,-0.0019018333077153679
stable_node,0.17840322435994352,521.6820763289957,0.006206776365437802,-0.0018933995416096805
stable_node,0.17840322435994352,522.0883707809653,0.0061792520095171975,-0.0018850031747426066
stable_node,0.17840322435994352,522.494665232935,0.006151849711133356,-0.001876644041278147
stable_node,0.17840322435994352,522.9009596849046,0.006124568929032775,-0.0018683219761153988
stable_node,0.17840322435994352,523.3072541368742,0.0060974091243622885,-0.0018600368148855419
stable_node,0.17840322435994352,523.7135485888439,0.006070369760657912,-0.0018517883939484273
stable_node,0.17840322435994352,524.1198430408134,0.006043450303834313,-0.0018435765503893834
stable_node,0.17840322435994352,524.526137492783,0.0060166502221741846,-0.0018354011220159774
