M,eta,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,discriminant,g,gcrit,R_B,bounded_margin,spectral_gap,invariance_residual,spectral_abscissa
5,0.13,-0.05060422857803734,0.0,-0.06947658829748425,0.0,0.0003561659613802023,-0.006818338199542917,0.01164178792747904,0.505379750257879,-0.48918261605856783,0.04924479041100556,2.4056002340700294e-16,-0.05060422857803753
5,0.131,-0.0506600482783209,0.0,-0.06939356597460394,0.0,0.00035094468527695026,-0.006848129395943989,0.011603148173785842,0.5082739421347201,-0.4833151994936624,0.04937437975612427,1.7872662241311371e-16,-0.05066004827832082
5,0.132,-0.050716211468870905,0.0,-0.06931011948750272,0.0,0.00034573341540534075,-0.006878035803400024,0.011564632737972607,0.5111724488566823,-0.477405455059725,0.04950457284091031,2.1598976248627797e-16,-0.050716211468870655
5,0.133,-0.050772729913091244,0.0,-0.06922623661315148,0.0,0.00034053190952916854,-0.00690805687799854,0.011526240810080062,0.5140750415394448,-0.4714537033324362,0.04963538314609291,1.9677673745092325e-16,-0.050772729913091195
5,0.134,-0.05082961576993377,0.0,-0.06914190474653954,0.0,0.0003353399275627172,-0.0069381920788767655,0.011487971588320873,0.5169814898648902,-0.4654602782741568,0.049766824527289866,1.806848018992442e-16,-0.050829615769933556
5,0.135,-0.05088688161461577,0.0,-0.06905711087983155,0.0,0.0003301572315505038,-0.0069684408681959156,0.011449824279052015,0.5198915621380699,-0.45942552723527486,0.049898911236051016,1.6006952646774863e-16,-0.050886881614615916
5,0.136,-0.05094454046077035,0.0,-0.06897184158010285,0.0,0.00032498358564708664,-0.006998802711119026,0.011411798096747887,0.5228050253455598,-0.4533498109468571,0.05003165794231189,2.4733944440334697e-16,-0.05094454046077032
5,0.137,-0.051002605784135846,0.0,-0.06888608296552762,0.0,0.00031981875609736016,-0.00702927707578574,0.011373892263974852,0.5257216452147987,-0.4472335035052907,0.050165079758412806,2.441014256396389e-16,-0.05100260578413566
5,0.138,-0.051061091547936484,0.0,-0.0687998206798845,0.0,0.0003146625112166212,-0.007059863433291718,0.01133610601136408,0.5286411862749023,-0.4410769923477281,0.050299192264786796,2.3733563380085162e-16,-0.05106109154793675
5,0.13899999999999998,-0.05112001223008933,0.0,-0.06871303986523208,0.0,0.0003095146213708968,-0.007090561257666138,0.01129843857758408,0.5315634119185224,-0.4348806782190785,0.050434011537483836,2.334435454246561e-16,-0.05112001223008925
5,0.13999999999999999,-0.051179382852401235,0.0,-0.06862572513259196,0.0,0.00030437485895757065,-0.007121370025847955,0.011260889209313727,0.5344880844647308,-0.4286449751304455,0.05056955417768848,1.6157548692501494e-16,-0.05117938285240098
5,0.141,-0.05123921901194747,0.0,-0.06853786053045974,0.0,0.0002992429983859962,-0.007152289217666829,0.011223457161216067,0.5374149652232053,-0.4223703103082821,0.05070583734340764,2.093690268581857e-16,-0.05123921901194728
5,0.142,-0.05129953691482589,0.0,-0.06844942951093419,0.0,0.0002941188160580502,-0.007183318315821717,0.011186141695908034,0.5403438145594693,-0.4160571241346436,0.0508428787835455,2.1024050185128985e-16,-0.05129953691482557
5,0.143,-0.05136035341250552,0.0,-0.06836041489325503,0.0,0.00028900209034926324,-0.007214456805860673,0.011148942083935373,0.5432743919610277,-0.40970587007875137,0.05098069687456444,1.489903789977594e-16,-0.051360353412505486
5,0.144,-0.05142168604102707,0.0,-0.06827079882448721,0.0,0.0002838926015897599,-0.007245704176159941,0.01111185760374302,0.546206456104589,-0.40331701461933145,0.051119310660003914,1.1203727886755676e-16,-0.05142168604102722
5,0.145,-0.05148355306333224,0.0,-0.06818056273708353,0.0,0.0002787901320453445,-0.007277059917905309,0.011074887541646648,0.549139764924302,-0.3968910371577645,0.051258739893123476,1.82606343037141e-16,-0.05148355306333225
5,0.146,-0.05154597351502026,0.0,-0.06808968730301068,0.0,0.0002736944658989445,-0.007308523525072232,0.011038031191805466,0.5520740756807756,-0.39042842992243454,0.05139900508297733,1.8080058075190124e-16,-0.051545973515019994
5,0.147,-0.051608967253896645,0.0,-0.06799815238409286,0.0,0.00026860538923184456,-0.007340094494407933,0.011001287856192055,0.5550091450311564,-0.3839296978635697,0.05154012754427978,1.798490208535313e-16,-0.0516089672538968
5,0.148,-0.051672555013686824,0.0,-0.06790593697818754,0.0,0.00026352269000537746,-0.0073717723254114725,0.010964656844564121,0.5579447290998447,-0.37739535853940176,0.05168212945143168,1.9582915344127292e-16,-0.05167255501368709
5,0.149,-0.05173675846236302,0.0,-0.0678130191607463,0.0,0.00025844615804238285,-0.0074035565203171075,0.01092813747443386,0.5608805835502308,-0.370825941992705,0.05182503389717036,2.0542786728930667e-16,-0.05173675846236294
5,0.15,-0.051801600265566294,0.0,-0.06771937602128565,0.0,0.0002533755850093668,-0.007435446584074143,0.010891729071041087,0.5638164636568385,-0.36422199061899385,0.05196886495630333,1.6249763993827805e-16,-0.05180160026556642
5,0.151,-0.05186710415569736,0.0,-0.06762498359418696,0.0,0.0002483107643979735,-0.007467442024331942,0.010855430967320095,0.5667521243786316,-0.3575840590246161,0.052113647755119175,1.6696184767342278e-16,-0.05186710415569715
5,0.152,-0.05193329500728122,0.0,-0.06752981678322088,0.0,0.00024325149150735984,-0.007499542351420611,0.010819242503872041,0.5696873204325303,-0.350912713876807,0.05225940854707471,1.838817672187534e-16,-0.05193329500728116
5,0.153,-0.05200019891934492,0.0,-0.06743384927906844,0.0,0.000238197563426194,-0.0075317470783351,0.010783163028933477,0.5726218063678193,-0.3442085337441112,0.0524061747954835,2.0450390398909943e-16,-0.05200019891934507
5,0.154,-0.052067843305597314,0.0,-0.067337053469029,0.0,0.0002331487790150454,-0.007564055720717263,0.010747191898346138,0.5755553366409366,-0.3374721089282763,0.05255397526401849,1.5817488811849527e-16,-0.052067843305597404
5,0.155,-0.05213625699335295,0.0,-0.06723940033799204,0.0,0.0002281049388887162,-0.007596467796840229,0.010711328475525791,0.5784876656908955,-0.3307040412869975,0.052702840115959076,1.745473068702909e-16,-0.05213625699335315
5,0.156,-0.05220547033224702,0.0,-0.06714085935961643,0.0,0.0002230658453988668,-0.007628982827592248,0.010675572131432306,0.5814185480150614,-0.32390494404811543,0.052852801023222915,1.79456202721641e-16,-0.05220547033224712
5,0.157,-0.052275515313960366,0.0,-0.06704139837650101,0.0,0.00021803130261662491,-0.0076616003364588636,0.010639922244536507,0.5843477382453381,-0.3170754416151156,0.0530038912864125,1.1812061733065584e-16,-0.052275515313960325
5,0.158,-0.052346425704343835,0.0,-0.0669409834679539,0.0,0.00021300111631535057,-0.0076943198495087505,0.010604378200789615,0.5872749912247683,-0.3102161693638965,0.05315614596726469,2.3233646853192733e-16,-0.05234642570434397
5,0.159,-0.05241823718955109,0.0,-0.06683957880375938,0.0,0.0002079750939536955,-0.0077271408953771,0.01056893939359258,0.5902000620842838,-0.30332777343141515,0.05330960203510163,2.750316470372048e-16,-0.05241823718955131
5,0.16,-0.05249098753804326,0.0,-0.06673714648206709,0.0,0.00020295304465839012,-0.007760063005250767,0.010533605223761669,0.593122706319892,-0.2964109104955345,0.05346429852916369,1.49613400832255e-16,-0.05249098753804318
5,0.161,-0.0525647167806137,0.0,-0.06663364634926532,0.0,0.0001979347792076796,-0.0077930857128513985,0.01049837509949842,0.5960426798697654,-0.28946624754733663,0.05362027673895829,2.6881058639412905e-16,-0.05256471678061379
5,0.162,-0.05263946741096305,0.0,-0.06652903579930414,0.0,0.0001929201100144038,-0.007826208554422055,0.010463248436356173,0.5989597391917312,-0.2824944616547468,0.053777580405158856,1.6567814510658778e-16,-0.05263946741096303
5,0.163,-0.05271528460975132,0.0,-0.06642326954954295,0.0,0.000187908851109554,-0.007859431068709784,0.010428224657207436,0.6018736413405759,-0.2754962397188717,0.05393625594398174,2.1759106337230164e-16,-0.05271528460975117
5,0.16399999999999998,-0.05279221649558695,0.0,-0.06631629938965909,0.0,0.00018290081812573464,-0.007892752796953582,0.01039330319221239,0.604784144045565,-0.2684722782221465,0.05409635269851193,1.8513937060080056e-16,-0.05279221649558685
5,0.16499999999999998,-0.052870314407018365,0.0,-0.0662080738995576,0.0,0.0001778958282808204,-0.00792617328286651,0.01035848347878356,0.6076910057877501,-0.26142328296934525,0.05425792322101096,1.759670563780512e-16,-0.052870314407018545
5,0.16599999999999998,-0.05294963322034052,0.0,-0.06609853813146298,0.0,0.00017289370036174025,-0.007959692072623717,0.01032376496155467,0.6105939858772839,-0.2543499688209826,0.05442102359106574,2.250157391531707e-16,-0.05294963322034053
5,0.16699999999999998,-0.05303023170894242,0.0,-0.06598763325047369,0.0,0.00016789425470847667,-0.007993308714845302,0.010289147092346431,0.6134928445304171,-0.247253059419955,0.05458571377526096,1.544123535528631e-16,-0.053030231708942534
5,0.16799999999999998,-0.05311217295103702,0.0,-0.06587529612673725,0.0,0.00016289731319809605,-0.008027022760583043,0.01025462933013389,0.6163873429463844,-0.24013328691099256,0.05475205803523764,1.7722833301841826e-16,-0.05311217295103708
5,0.16899999999999998,-0.053195524793978224,0.0,-0.0657614588710272,0.0,0.00015790269922874074,-0.008060833763306921,0.010220211141011423,0.6192772433840694,-0.2329913916532561,0.05492012539235902,2.174472739024566e-16,-0.05319552479397799
5,0.16999999999999998,-0.05328036038507658,0.0,-0.06564604830383952,0.0,0.00015291023770423962,-0.008094741278888363,0.010185891998160942,0.6221623092380367,-0.22582812192718715,0.05508999015884436,2.5524606719582635e-16,-0.05328036038507626
