tag,beta,A,r,psi,J11,J12,J21,J22,trace,determinant,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,s,g,gcrit,abs_g_over_gcrit,lambda_transverse
locked,0.1,0.17834098643902008,0.8204919477225696,-0.2177425784681333,0.009610801870337882,0.06666332440151843,-0.008293558830709036,-0.05610414122574402,-0.04649333935540614,1.3670417348552972e-05,0.002106948935022745,-0.04619742639193117,0.0,-0.0002959129634749619,0.0,0.029184882785404695,0.03747844161611373,0.04394736419545696,0.8528029451192445,-0.16413114600660733
locked,0.1,0.17834099775011392,0.8204821109446099,-0.2177411630711391,0.00961127668695103,0.0666666274720403,-0.008306778088913447,-0.05610289823483848,-0.046491621547887454,1.456440247161049e-05,0.002103213264265551,-0.04617621234187069,0.0,-0.00031540920601675487,0.0,0.029179924691563427,0.037486702780476874,0.04394378455957339,0.853060407886744,-0.1641294293283138
locked,0.1,0.17834101058753254,0.8204716309392389,-0.21773965531367556,0.009611782552011923,0.06667014642269338,-0.008320861227556375,-0.0561015738981504,-0.04648979134613848,1.5516907269446184e-05,0.0020992330703297076,-0.04615358982141447,0.0,-0.00033620152472400855,0.0,0.029174642597568502,0.03749550382512488,0.043939971264014055,0.8533347370628104,-0.16412760040816818
locked,0.1,0.17834102515723899,0.8204604656119983,-0.2177380491773718,0.009612321497433273,0.06667389536667227,-0.008335864710122598,-0.05610016288323235,-0.046487841385799075,1.6531769781447472e-05,0.0020949923175854236,-0.046129463714561836,0.0,-0.00035837767123723246,0.0,0.029169015328274837,0.037504880038397435,0.04393590907322777,0.8536270406033531,-0.16412565190237233
locked,0.1,0.1783410416929891,0.8204485701018699,-0.2177363382517977,0.009612895688673491,0.06667788934276742,-0.008351848701491749,-0.05609865950596941,-0.04648576381729592,1.7613081420307043e-05,0.00209047391199619,-0.046103732242768244,0.0,-0.00038203157452766645,0.0,0.029163020320637834,0.03751486902212958,0.04393158175784916,0.8539384998453164,-0.16412357598468963
locked,0.1,0.17834106046008177,0.8204358966123603,-0.21773451571102737,0.00961350743289095,0.06668214437159604,-0.008368877292551091,-0.05609705770893421,-0.046483550276043256,1.8765202601912075e-05,0.0020856596358577928,-0.046076286496149005,0.0,-0.00040726377989425133,0.0,0.029156633539522477,0.03752551083207357,0.0439269720351007,0.8542703740673971,-0.16412136431701993
locked,0.1,0.17834108175961555,0.8204223942073907,-0.21773257428525297,0.009614159188797072,0.06668667752358502,-0.008387018771808363,-0.05609535103525536,-0.04648119184645829,1.999278161544069e-05,0.002080530069005498,-0.04604700987306735,0.0,-0.00043418197339093606,0.0,0.02914982937588833,0.03753684814769669,0.04392206149663987,0.8546240059922583,-0.1641190080138402
locked,0.1,0.1783411059333193,0.8204080086100971,-0.2177305062329575,0.009614853576369186,0.06669150698589806,-0.008406345892700395,-0.056093532602805286,-0.0464786790264361,2.1300773271639933e-05,0.0020750645109559114,-0.04601577750819386,0.0,-0.0004629015182422355,0.0,0.02914258054659883,0.037548926439299225,0.043916830537766294,0.8550008272343108,-0.16411649760716143
locked,0.1,0.178341133369035,0.8203926819802235,-0.2177283033101609,0.009615593387596698,0.06669665213646324,-0.008426936169254273,-0.05609159507562942,-0.046476001688032724,2.2694459547958514e-05,0.002069240894714187,-0.04598245563366886,0.0,-0.0004935460543638581,0.0,0.029134857983604483,0.037561794152858756,0.04391125827917347,0.8554023643333815,-0.16411382300775929
locked,0.1,0.17834116450694024,0.8203763526834856,-0.2177259567386889,0.009616381597615154,0.06670213362059668,-0.00844887218204926,-0.056089530634299806,-0.046473149036684654,2.417947101983998e-05,0.0020630356973065436,-0.045946900899234255,0.0,-0.0005262481374503913,0.0,0.02912663071927371,0.03757550290132297,0.04390532248616296,0.8558302450270153,-0.1641109734650147
