A,r,psi,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,g_declared_metric,gcrit_declared_metric,R_B_declared_metric,bounded_margin,lambda_transverse
0.17878714303613033,0.8093627220215607,-0.21624581678035157,-0.0022620385149625475,-0.02225678033697464,0.023780446352847068,-0.02225678033697464,-0.023780446352847068,0.06312659229595564,0.05847612355619317,0.7336124875531221,0.07637456378775953,-0.16219590866259948
0.17879131332042872,0.8093087094948394,-0.21623903007290093,-0.0022839314369505793,-0.022251893460375923,0.023895247628715723,-0.022251893460375923,-0.023895247628715723,0.06316449515865304,0.058470253885286476,0.7338498034026901,0.07707106790833396,-0.16218655124313194
0.1787954836047271,0.8092549332009725,-0.21623227733021808,-0.0023057351647115393,-0.022247027216044924,0.024009035615323752,-0.022247027216044924,-0.024009035615323752,0.0632022261740342,0.05846441312607088,0.734085810665346,0.07776395484039633,-0.16217723508819987
0.1787996538890255,0.8092013898955804,-0.21622555808500163,-0.0023274509272845287,-0.02224218132078222,0.024121831021320334,-0.02224218132078222,-0.024121831021320334,0.06323978770266864,0.058458600880088356,0.7343205274475945,0.07845327406182667,-0.16216795963140435
0.17880382417332388,0.8091480764078579,-0.21621887188055156,-0.0023490799258199645,-0.022237355497809988,0.024233653902269708,-0.022237355497809988,-0.024233653902269708,0.06327718205159216,0.058452816757923194,0.734553971444817,0.0791390739307063,-0.1621587243191898
0.17880799445762227,0.8090949896382531,-0.21621221827043435,-0.0023706233344599707,-0.02223254947656946,0.024344523688398425,-0.02223254947656946,-0.024344523688398425,0.06331441147599594,0.05844706037891669,0.7347861599542415,0.07982140172060026,-0.16214952861043863
0.17881216474192066,0.8090421265562839,-0.21620559681816864,-0.0023920823011642917,-0.022227762992530296,0.024454459210767138,-0.022227762992530296,-0.024454459210767138,0.06335147818081502,0.058441331370898866,0.7350171098871863,0.0805003036538241,-0.16214037197609021
0.17881633502621905,0.80898948419833,-0.21619900709690673,-0.0024134579485513633,-0.022222995786997893,0.024563478726309124,-0.022222995786997893,-0.024563478726309124,0.06338838432233544,0.05843562936991661,0.7352468377813343,0.08117582493490327,-0.1621312538987553
0.17882050531051744,0.8089370596656588,-0.21619244868915033,-0.0024347513746427723,-0.02221824760694114,0.02467159994124201,-0.02221824760694114,-0.02467159994124201,0.06342513200963008,0.058429954019991404,0.7354753598118395,0.08184800978070972,-0.16212217387237166
0.17882467559481582,0.8088848501223858,-0.21618592118645663,-0.0024559636536402273,-0.022213518204814306,0.024778840033586255,-0.022213518204814306,-0.024778840033586255,0.0634617233060431,0.05842430497286825,0.7357026918026631,0.0825169014513687,-0.16211313140184788
0.1788288458791142,0.8088328527936882,-0.21617942418918065,-0.0024770958365973334,-0.02220880733840123,0.02488521567415748,-0.02220880733840123,-0.02488521567415748,0.06349816023048932,0.05841868188779649,0.7359288492366626,0.08318254227759692,-0.16210412600275165
0.1788330161634126,0.8087810649638162,-0.21617295730618885,-0.0024981489521824062,-0.022204114770641693,0.024990743047088496,-0.022204114770641693,-0.024990743047088496,0.06353444475890221,0.058413084431284706,0.7361538472665479,0.08384497369067967,-0.16209515720096246
0.178837186447711,0.8087294839745116,-0.2161665201546312,-0.0025191240072688897,-0.022199440269493446,0.025095437868609155,-0.022199440269493446,-0.025095437868609155,0.06357057882538317,0.058407512276906916,0.736377700723883,0.08450423624678516,-0.16208622453239585
0.17884135673200938,0.8086781072232202,-0.21616011235968352,-0.00254002198761857,-0.02219478360777615,0.025199315405475667,-0.02219478360777615,-0.025199315405475667,0.06360656432350313,0.058401965105082713,0.7366004241289816,0.08516036965399132,-0.16207732754269116
0.17884552701630774,0.8086269321614876,-0.21615373355431644,-0.0025608438584891376,-0.022190144563031373,0.025302390492249614,-0.022190144563031373,-0.025302390492249614,0.06364240310746987,0.058396442602879545,0.7368220316998938,0.0858134127967185,-0.16206846578693151
0.17884969730060613,0.8085759562934658,-0.21614738337907993,-0.002581590565196268,-0.02218552291739225,0.02540467754763023,-0.02218552291739225,-0.02540467754763023,0.06367809699321379,0.058390944463829975,0.7370425373608183,0.08646340375854633,-0.16205963882938318
0.1788538675849045,0.8085251771742761,-0.21614106148186762,-0.0026022630337417044,-0.022180918457440663,0.025506190590431667,-0.022180918457440663,-0.025506190590431667,0.06371364775958033,0.05838547038772959,0.7372619547511259,0.0871103798469024,-0.16205084624320984
0.1788580378692029,0.8084745924086696,-0.21613476751772387,-0.002622862171315011,-0.022176330974090212,0.025606943254296338,-0.022176330974090212,-0.025606943254296338,0.06374905714930361,0.05838002008047295,0.7374802972329535,0.08775437761361093,-0.16204208761023886
0.1788622081535013,0.8084241996495934,-0.21612850114863674,-0.002643388866839097,-0.022171760262461197,0.025706948802021862,-0.022171760262461197,-0.025706948802021862,0.06378432687004992,0.05837459325387714,0.7376975778991823,0.08839543287664031,-0.1620333625207107
0.17886637843779968,0.8083739965968613,-0.21612226204334684,-0.0026638439914736245,-0.022167206121764475,0.025806220139113857,-0.022167206121764475,-0.025806220139113857,0.06381945859538536,0.058369189625518195,0.7379138095808901,0.08903358074036438,-0.1620246705730472
0.17887054872209807,0.8083239809958219,-0.2161160498771551,-0.0026842283991210854,-0.02216266835518539,0.025904769826815114,-0.02216266835518539,-0.025904769826815114,0.0638544539657443,0.05836380891856773,0.7381290048547564,0.08966885561574611,-0.16201601137361896
0.17887471900639645,0.8082741506361333,-0.21610986433174642,-0.0027045429268905755,-0.022158146769776635,0.026002610094424075,-0.022158146769776635,-0.026002610094424075,0.06388931458932166,0.05835845086164185,0.7383431760499469,0.09030129123904573,-0.16200738453653127
0.17887888929069484,0.8082245033505122,-0.2161037050950095,-0.002724788395573347,-0.022153641176349183,0.026099752851192606,-0.022153641176349183,-0.026099752851192606,0.06392404204298227,0.05835311518864805,0.7385563352550524,0.09093092069074671,-0.16199878968340634
0.17888305957499323,0.8081750370136465,-0.21609757186087963,-0.00274496561005207,-0.022149151389377425,0.02619620969745467,-0.022149151389377425,-0.02619620969745467,0.0639586378730531,0.05834780163865066,0.7387684943242618,0.0915577764122737,-0.16199022644319266
0.17888722985929162,0.8081257495409859,-0.21609146432916507,-0.0027650753597622847,-0.022144677226893512,0.026291991935579368,-0.022144677226893512,-0.026291991935579368,0.06399310359620193,0.05834250995572321,0.7389796648840217,0.09218189022420198,-0.16198169445195476
0.17889140014359,0.8080766388877022,-0.21608538220539675,-0.002785118419085396,-0.022140218510396638,0.02638711058019331,-0.022140218510396638,-0.02638711058019331,0.06402744070019535,0.05833723988881958,0.7391898583389124,0.09280329334220272,-0.1619731933526909
0.1788955704278884,0.808027703047617,-0.216079325200674,-0.0028050955477551855,-0.022135775064759496,0.02648157636808646,-0.022135775064759496,-0.02648157636808646,0.06406165064467766,0.05833199119164314,0.739399085877606,0.09342201639327885,-0.1619647227951465
0.17889974071218678,0.8079789400522001,-0.21607329303152012,-0.00282500749123738,-0.02213134671814084,0.026575399767629935,-0.02213134671814084,-0.026575399767629935,0.06409573486190029,0.05832676362252302,0.7396073584784869,0.09403808943105019,-0.16195628243563912
0.17890391099648517,0.8079303479696086,-0.216067285419744,-0.0028448549810927634,-0.022126933301901595,0.026668590987774177,-0.022126933301901595,-0.026668590987774177,0.0641296947574209,0.05832155694429623,0.7398146869150423,0.09465154195040393,-0.16194787193689053
0.17890808128078356,0.8078819249036501,-0.21606130209229046,-0.002864638735374958,-0.02212253465051439,0.026761159986886617,-0.02212253465051439,-0.026761159986886617,0.0641635317108581,0.05831637092418006,0.7400210817615646,0.09526240290311239,-0.161939490967846
0.17891225156508195,0.8078336689929679,-0.21605534278112334,-0.002884359458933547,-0.02211815060149247,0.026853116480836728,-0.02211815060149247,-0.026853116480836728,0.0641972470764835,0.05831120533367221,0.7402265533978106,0.0958707007104036,-0.16193113920353205
0.17891642184938034,0.8077855784101498,-0.21604940722309648,-0.002904017843752431,-0.022113780995311784,0.026944469950958533,-0.022113780995311784,-0.026944469950958533,0.0642308421838707,0.058306059948441014,0.740431112013983,0.09647646327652692,-0.16192281632490052
0.17892059213367872,0.8077376513607284,-0.21604349515981036,-0.002923614569336229,-0.022109425675323934,0.027035229651957027,-0.022109425675323934,-0.027035229651957027,0.0642643183386229,0.05830093454820262,0.7406347676161639,0.09707971800369819,-0.16191452201865475
0.1789247624179771,0.8076898860825515,-0.21603760633752053,-0.0029431503029381766,-0.02210508448770109,0.027125404618817118,-0.02210508448770109,-0.027125404618817118,0.06429767682283032,0.05829582891664365,0.740837530030049,0.09768049180204752,-0.16190625597713898
