N,seed,dt,mean_r2,std_r2,rms_euclidean_gauge_distance,q95_euclidean_gauge_distance,rms_true_chordal_quotient_distance,q95_true_chordal_quotient_distance,quotient_search_validation_max_abs_gap,quotient_search_validation_failures,quotient_search_cycle_points
1024,112406,0.04,0.7393643641646633,0.19898702860880768,0.007791930911963257,0.015043032260223126,0.007318774479184592,0.013646076429551925,0.0,0,8000
1024,112407,0.04,0.7373317141771958,0.2016522807910598,0.00698004677705347,0.013915790058232576,0.00656140089801991,0.01287029253226581,0.0,0,8000
2048,214800,0.04,0.7374041203016698,0.2015404815256181,0.0053737120793829855,0.011110167383023072,0.005033446658161275,0.01024056201209033,0.0,0,8000
2048,214801,0.04,0.7381201583451645,0.20018394324901698,0.00469904015826163,0.009015147310763397,0.004408847332498144,0.008355626426881271,0.0,0,8000
2048,214802,0.04,0.7375628110221016,0.20068313211099287,0.0039140801067395,0.007658396127536439,0.0037073944079806854,0.007418477100791798,0.0,0,8000
2048,214803,0.04,0.7381289144105779,0.19974485321521815,0.003583936698245891,0.006978540044858804,0.0033708610785729153,0.006458006831514922,0.0,0,8000
2048,214804,0.04,0.7379108117395327,0.20007730096772433,0.00436536790816401,0.009453835484043813,0.004141257211332093,0.009076815338709902,0.0,0,8000
2048,214805,0.04,0.7380336935846502,0.2009110588931078,0.0060986492456180635,0.011867485513068453,0.00568868058158652,0.010868929480064527,0.0,0,8000
2048,214806,0.04,0.7392463541730729,0.19890672750208188,0.006178171842725204,0.011556537526609234,0.005756745532852884,0.010564822585896975,0.0,0,8000
2048,214807,0.04,0.7379056218128948,0.20013469312475987,0.004478066064668063,0.00972243025860281,0.004226967423030205,0.009183606428421344,0.0,0,8000
